SMILES,chiral,mol_weight,polarizability,dipole
C(CCl)OOOCCCl,0,175.01,15.14,1.7469121412
C=CC#N,0,53.06,6.32,3.91976465247
CC(=O)OCc1ccco1,0,140.14,14.5,2.19019994287
C/C=C\C=C,0,68.12,9.82,0.393232247523
C/C=C/C=C,0,68.12,10.66,0.726368751011
C(C(F)(F)F)OCC(F)(F)F,0,182.06,9.56,3.29391528691
CCC(=O)CC(=O)C,0,114.14,12.53,4.72282633741
CCCC(=O)CC(=O)C,0,128.17,14.52,1.55017826465
CCCCC(=O)CC(=O)C,0,142.2,16.39,1.38819828283
CCCCCC(=O)CC(=O)C,0,156.22,18.09,1.59734640273
CCCC(=O)CC(=O)CC,0,142.2,16.27,1.57671516103
CCCC(=O)CC(=O)CCC,0,156.22,18.32,4.31179410111
CCOC(=O)OCC,0,118.13,11.6,0.2823327549
CCC(CC(C)C)CO,1,130.23,16.26,1.41434635944
CCCC(CC)(CC)O,0,130.23,16.13,1.3421071326
CCC(CC)C(CC)O,1,130.23,16.07,1.48165772341
CCCCCOCCO,0,132.2,15.27,2.27764029582
COP(=O)(OC)OC,0,140.07,11.47,3.53787569554
CCOP(=O)(OCC)OCC,0,182.15,17.31,0.678614665891
CCCOP(=O)(OCCC)OCCC,0,224.23,23.1,3.40132341601
ClCl,0,70.91,4.46,1.3049677291200002e-12
CC#C,0,40.06,5.3,0.879698379177
CCC#C,0,54.09,7.28,0.885430888506
C=CC#C,0,52.07,7.5,0.383240550383
CCCS,0,76.16,9.26,1.62006106074
Cc1ccccc1O,0,108.14,13.08,1.70007297655
c1ccc2c(c1)cccn2,0,129.16,17.03,2.03685325566
COC(=O)c1ccccc1,0,136.15,15.59,1.92306597038
Cc1ccncc1,0,93.13,11.5,2.77035072984
Cc1cccc(n1)C,0,107.15,13.74,1.51413719055
C[Si](C)(C)C,0,88.22,11.96,0.000391918788239
CCCC#C,0,68.12,9.13,0.875741514267
CCCCC#C,0,82.14,11.13,1.08487563985
CCCCCC#C,0,96.17,12.98,0.869044133481
CCCCCCC#C,0,110.2,14.91,1.0788471545
CCCCCCCC#C,0,124.22,16.77,0.879392196034
CCCCCc1ccccc1,0,148.24,20.11,0.559828336616
Cc1cc(cc(c1)C)C,0,120.19,16.58,0.0390299502542
CCCCCCCC(=O)C,0,142.24,17.95,3.01005554857
CCCCCCCCC(=O)C,0,156.27,19.8,3.33508011421
CCCCCCCCCC(=O)C,0,170.29,21.66,3.30090776928
CCCCC(=O)CCCC,0,142.24,17.64,2.76343445636
C=O,0,30.03,2.62,2.22384598163
CC=O,0,44.05,4.61,2.64954009781
CCCCCCC=O,0,114.19,14.04,2.51063270136
CCCCCCCC=O,0,128.21,15.89,2.44137171353
CCCCCCCCC=O,0,142.24,18.15,3.24780852019
CC(C)C=O,0,72.11,8.27,2.7645926598
C/C=C/C=O,0,70.09,8.51,3.41463754337
CCCOC(=O)CC,0,116.16,12.79,1.96100574776
CCCC(=O)OCCC,0,130.18,14.51,1.95346590375
CCCCCOC(=O)CC,0,144.21,16.47,1.74775245974
CC(C)OC=O,0,88.11,9.03,2.24240558534
CCC(=O)OC(C)C,0,116.16,12.7,1.99007638473
CC(C)COC=O,0,102.13,10.83,1.96487072234
CC(C)CCOC=O,0,116.16,12.67,2.09870951059
CC(C)COC(=O)C(C)C,0,144.21,16.33,1.98411736843
C1CCC(C1)O,0,86.13,9.74,1.77114407737
c1ccc(cc1)O,0,94.11,11.05,1.25246316395
c1ccc(c(c1)[N+](=O)[O-])O,0,139.11,14.21,5.7954108968
c1ccc(c(c1)O)Cl,0,128.56,13.37,2.63458311152
CCC(=O)O,0,74.08,7.02,4.13794972439
CCCC(=O)O,0,88.11,8.86,4.01947868785
CCCCC(=O)O,0,102.13,10.81,1.46761701005
CCCCCC(=O)O,0,116.16,12.66,4.51407379729
CCCCCCC(=O)O,0,130.18,,1.61175680206
CCCCCCCC(=O)O,0,144.21,16.46,1.8782015255
CC(C)CC(=O)O,0,102.13,10.76,4.51064394374
CC(C)(C)N,0,73.14,9.58,1.16748039227
CC(C)NC(C)C,0,101.19,13.47,0.921211670922
CN(C)c1ccccc1,0,121.18,16.38,2.31597626118
CCc1ccccn1,0,107.15,13.44,1.7853058983
CCc1cccnc1,0,107.15,13.47,2.50551722737
CCc1ccncc1,0,107.15,13.45,2.81860360289
Cc1ccnc(c1)C,0,107.15,13.7,2.41774709607
Cc1ccc(nc1)C,0,107.15,13.75,2.03302304244
Cc1ccncc1C,0,107.15,13.5,3.00054414868
Cc1cc(cnc1)C,0,107.15,13.66,2.61778772453
CC(C)(C)c1ccncc1,0,135.21,17.12,2.90923123206
CCCCC[N+](=O)[O-],0,117.15,12.53,4.02461213263
Cc1ccccc1[N+](=O)[O-],0,137.14,15.18,4.21729619233
Cc1cccc(c1)[N+](=O)[O-],0,137.14,15.29,4.85561544843
Cc1ccc(cc1)[N+](=O)[O-],0,137.14,15.57,5.32560107028
CCCCCCCl,0,120.62,13.7,1.97666031827
CCCCCCCCl,0,134.65,15.79,2.02153234718
CC(C)Cl,0,78.54,8.26,2.19524143462
CC(C)CCl,0,92.57,10.09,2.09759848602
C(C(Cl)(Cl)Cl)Cl,0,167.85,12.46,1.32172806766
CCCBr,0,122.99,8.88,2.12493435388
CCCCCBr,0,151.04,12.64,2.13410806818
CCCCCCBr,0,165.07,14.59,2.09379348489
CCCCCCCBr,0,179.1,16.67,2.12725293827
CCCCCCCCBr,0,193.12,18.27,2.01599487035
CC(C)Br,0,122.99,9.06,2.27391215757
CCC(C)Br,1,137.02,10.84,2.28878360701
CC(C)CBr,0,137.02,10.88,2.15096547451
C(CBr)Br,0,187.86,10.24,7.47344085038e-13
CCCI,0,169.99,10.6,2.10690045772
CCCCI,0,184.02,12.45,2.08117272912
CCCCCI,0,198.05,14.31,2.07299626262
CCCCCCI,0,212.07,16.27,2.05324492039
CCCCCCCI,0,226.1,18.66,2.33851278357
C(C(F)(Cl)Cl)(F)(F)Cl,0,187.38,10.82,0.437854636327
C(C(F)(F)F)(F)Br,1,180.93,7.52,1.33541713885
C(C(F)(F)F)(Cl)Br,1,197.38,9.41,1.25368776212
C(C(OC(F)F)(F)F)(F)Cl,1,184.49,9.58,1.34424480696
COC(C(Cl)Cl)(F)F,0,164.97,11.12,2.44033761529
C(C(F)(F)F)(OC(F)F)Cl,1,184.49,9.61,2.41118321439
C=COCC(F)(F)F,0,126.08,9.22,2.49955084342
C=CCCl,0,76.52,8.16,1.9609590131
C=CCBr,0,120.98,8.99,1.96730512514
C=CCI,0,167.98,10.86,1.84952643835
Cc1ccccc1Cl,0,126.58,14.46,1.38394729081
Cc1ccccc1Br,0,171.03,15.3,1.42422593314
Cc1cccc(c1)Br,0,171.03,15.45,1.96443994396
Cc1ccc(cc1)Br,0,171.03,15.53,2.1796449182
CCCCS,0,90.19,11.13,1.54496042388
CCSCC,0,90.19,11.38,1.56226666886
CCCSCCC,0,118.24,15.28,1.42714313205
CC(C)SC(C)C,0,118.24,15.11,1.62482011392
CSSC,0,94.2,10.68,1.96920818319
CCSSCC,0,122.25,14.62,2.0199829945
Cc1cccs1,0,98.17,11.44,0.663368457284
c1ccc(cc1)S,0,110.18,13.73,0.949171664722
CC(=O)C(=O)C,0,86.09,8.47,0.12684941345
CC(=O)COC,0,88.11,9.18,2.87001305625
CCC(C)Cl,1,92.57,10.12,2.26520362437
CN1CCCCC1,0,99.17,12.69,0.297605930486
c1ccc(cc1)C(=O)O,0,122.12,13.34,4.73506580929
C1COCCN1,0,87.12,9.52,1.1784763734
C(F)(Cl)(Cl)Cl,0,137.37,8.73,0.35279917111
C=Cc1ccccc1,0,104.15,14.84,0.213962060337
COC(=O)C=C,0,86.09,8.91,2.17471447242
c1ccoc1,0,68.07,7.08,0.589142976393
C(C(F)(F)F)F,0,102.03,4.77,1.9523496703
C=CCCCCC=C,0,110.2,15.54,0.347746643875
C=CC1CCC=CC1,1,108.18,14.47,0.279542457834
Cc1ccc(cc1)C(C)C,0,134.22,18.39,0.0888034167658
CC(=C)c1ccccc1,0,118.18,16.48,0.355625127488
CC(=CC(C)(C)C)C,0,112.21,15.67,0.392686439334
C1C=CCC=C1,0,80.13,10.32,0.000140632930032
C=CCCCC=C,0,96.17,13.7,0.228890968879
[O-][O+]=O,0,48.0,2.71,0.622634265952
CCC1CO1,1,72.11,8.04,1.92664291725
C(C(CCl)O)Cl,0,128.99,10.91,2.09305442398
CCCCCCCCCCCCCCCCCCCCCCCCCCCC,0,394.76,,
C1CCOC(=O)C1,0,100.12,9.98,4.80025028142
CCOC(=O)CC(=O)C,0,130.14,13.27,2.18757940939
CCOC(=O)C(F)(F)F,0,142.08,9.31,3.28661693254
CCOC(=O)C(Cl)(Cl)Cl,0,191.44,15.16,2.83194095764
CC(=N)O,1,59.07,6.05,2.99370662932
CCC(=N)O,1,73.09,7.82,4.28664027884
C(=O)(C(Cl)(Cl)Cl)N,0,162.4,12.03,3.28841804893
CCOC(=N)O,1,89.09,8.52,2.24487686966
C(=O)O,0,46.03,3.48,3.75978830495
CC(C)C(=O)O,0,88.11,8.86,4.10699318631
CCCC(C)C(=O)O,1,116.16,12.68,1.53470071229
C(C(=O)O)Cl,0,94.5,7.25,2.77843316661
C(CO)CCl,0,94.54,8.87,1.47542537933
C(CO)CO,0,76.09,7.63,0.181725206206
C(=S)(N)N,0,76.12,8.44,5.16330259838
CCCCP(=O)(CCCC)CCCC,0,218.32,27.14,3.91995703899
c1ccc2cc(ccc2c1)Cl,0,162.62,20.58,1.77739786033
COc1ccccc1C=O,0,136.15,15.97,4.93312593811
c1ccc(cc1)CC=O,0,120.15,14.66,2.75421191279
CC(=O)Oc1ccccc1,0,136.15,15.31,1.67666688895
COC(=O)c1ccccc1C(=O)OC,0,194.18,20.59,3.2743885539
CCOC(=O)c1ccccc1C(=O)OCC,0,222.24,24.56,1.68482244436
c1ccc(cc1)CC#N,0,117.15,14.31,4.09435602345
c1ccc(c(c1)C#N)C#N,0,128.13,15.63,7.15619180583
c1cc(cc(c1)C#N)C#N,0,128.13,15.86,4.33528674288
c1cc(ccc1C#N)C#N,0,128.13,16.31,5.30234016531e-10
CCc1ccc(cc1)N,0,121.18,16.31,1.43914348661
CCCc1ccc(cc1)N,0,135.21,18.13,1.45699005449
CC(C)c1ccc(cc1)N,0,135.21,18.26,1.77039104286
CCCCc1ccc(cc1)N,0,149.23,20.27,1.47130391093
c1cc(ccc1N)Cl,0,127.57,14.49,3.87667480401
c1ccc(c(c1)N)[N+](=O)[O-],0,138.12,15.39,4.78872263658
c1cc(cc(c1)[N+](=O)[O-])N,0,138.12,15.19,6.04755770064
c1cc(ccc1N)[N+](=O)[O-],0,138.12,16.09,7.76439927327
CC(=O)c1cccc(c1)N,0,135.16,16.78,5.13851730957
CC(=O)c1ccc(cc1)N,0,135.16,17.53,5.56686308351
Cc1ccc(c(c1)C)N,0,121.18,16.33,1.77323952469
CNc1ccccc1,0,107.15,14.24,2.2276616212
CCN(CC)c1ccccc1,0,149.23,20.28,2.25116528501
c1ccc(cc1)CN,0,107.15,13.74,1.28930848765
Cc1ccc(c(c1)C)O,0,122.16,15.32,0.956005126733
Cc1ccc(c(c1)O)C,0,122.16,15.35,1.239352306
Cc1cc(cc(c1)O)C,0,122.16,15.37,1.27823686839
CCc1ccccc1O,0,122.16,15.08,1.02017856902
CCc1cccc(c1)O,0,122.16,15.17,1.59021941058
CCc1ccc(cc1)O,0,122.16,15.25,1.27036235627
Cc1ccc(c(c1)O)C(C)C,0,150.22,19.25,1.38260764751
c1ccc(c(c1)O)F,0,112.1,11.19,2.50032110543
c1cc(cc(c1)Cl)O,0,128.56,13.44,0.97543937608
c1cc(ccc1O)Cl,0,128.56,13.45,2.23553692452
c1ccc(c(c1)O)Br,0,173.01,14.12,0.850520465288
c1cc(ccc1O)Br,0,173.01,14.24,2.24620257556
c1ccc(c(c1)O)I,0,220.01,15.98,0.879043762325
c1cc(ccc1O)I,0,220.01,16.11,2.24027967277
c1cc(c(cc1Cl)Cl)O,0,163.0,15.78,0.875527891064
COc1ccccc1O,0,124.14,14.08,1.80809295303
COc1cccc(c1)O,0,124.14,12.77,2.47071526276
COc1ccc(cc1)O,0,124.14,14.15,2.35799469398
c1ccc(c(c1)C=O)O,0,122.12,13.91,3.03480768468
CC(=O)c1ccc(cc1)O,0,136.15,16.12,4.44454979869
c1cc(cc(c1)O)[N+](=O)[O-],0,139.11,14.16,3.66891158082
c1cc(ccc1[N+](=O)[O-])O,0,139.11,14.59,5.41755566682
c1cc(c(cc1[N+](=O)[O-])[N+](=O)[O-])O,0,184.11,17.58,6.05631055426
c1ccc(c(c1)C(=O)O)O,0,138.12,14.2,6.39035065796
c1ccc(c(c1)CO)O,0,124.14,13.84,0.729116709393
c1ccc(cc1)CCO,0,122.16,15.07,1.44370154675
c1ccnc(c1)Cl,0,113.54,11.8,3.22346167408
c1ccnc(c1)Br,0,158.0,12.66,3.26459471643
COc1ccccn1,0,109.13,12.48,0.576500065227
Cn1ccccc1=O,0,109.13,12.54,3.9329423583
c1ccc2cnccc2c1,0,129.16,16.88,2.58592193795
c1cc[nH]c1,0,67.09,7.85,1.87209740967
C#N,0,27.03,2.45,2.94404174886
CCOCOCC,0,104.15,11.6,1.96250831879
COCCOC,0,90.12,9.91,1.30030337292
CC(=O)Nc1ccc(cc1)O,0,151.16,17.99,2.17716259958
CN(C)/C(=N\c1ccc(c(c1)Cl)Cl)/O,0,233.09,25.64,6.8019770503
C(Cl)Br,0,129.38,7.14,1.50364247274
COCOC,0,76.09,7.84,1.66868481203
CCOCCOC,0,104.15,11.87,1.1803465835
c1ccc(cc1)c2ccccc2,0,154.21,21.61,0.000555841291912
c1ccc2c(c1)ccc3c2cccc3,0,178.23,25.92,0.0231857114524
c1ccc2cc3ccccc3cc2c1,0,178.23,27.29,0.000119266113462
[Ge](Br)(Br)(Br)Br,0,392.26,16.44,0.000259131537338
Cl[Ge](Cl)(Cl)Cl,0,214.45,12.95,0.00040644018374
C=CCCC=C,0,82.14,11.75,0.281785186143
CC(=C)C(=C)C,0,82.14,11.56,0.755713648132
c1ccc(c(c1)N)Cl,0,127.57,14.23,1.87311770415
c1cc(cc(c1)Cl)N,0,127.57,14.43,3.30881621579
COc1ccccc1N,0,123.15,15.01,1.72804293422
c1ccc(cc1)C(=N)O,1,121.14,14.34,2.88895216999
COC(=O)c1ccccc1O,0,152.15,16.63,1.16242352041
CCOC(=O)c1ccccc1O,0,166.17,18.68,2.63377903386
CCCOC(=O)c1ccccc1O,0,180.2,20.61,3.01044311597
CCCCOC(=O)c1ccccc1O,0,194.23,22.73,2.69903786632
C(=O)(C(Cl)(Cl)Cl)O,0,163.39,11.34,1.73531567144
OO,0,34.01,2.19,1.74158042584
c1ccc(c(c1)N)O,0,109.13,12.79,2.98045532004
c1cc(cc(c1)O)N,0,109.13,12.95,3.10302767733
c1cc(ccc1N)O,0,109.13,12.93,2.25072145842
CCOC(C)OCC,0,118.17,13.7,2.06369824786
c1ccc(c(c1)[N+](=O)[O-])Cl,0,157.55,15.36,4.67301449295
CCC(=O)c1ccccc1,0,134.18,16.72,2.89495700625
CCCCCCCCCC(=O)O,0,172.26,20.41,4.23550244488
Cc1cccc(c1)Cl,0,126.58,14.64,1.99730036932
Cc1ccc(cc1)Cl,0,126.58,14.71,2.15087558564
CC/C=C/C,0,70.13,10.02,0.037482208984
CCC=C(C)C,0,84.16,11.76,0.297731022744
CCCCCCCCC=C,0,140.27,19.38,0.387102479471
CCCCCCCCCCC=C,0,168.32,23.24,0.552924701995
C=CCC=C,0,68.12,9.65,0.318834783281
C1CC=CC1,0,68.12,8.77,0.259262491451
C1CCC=CCC1,0,96.17,12.57,0.429197109882
C1CCCC=CCC1,0,110.2,14.33,0.52713916057
C1C=CC=C1,0,66.1,8.51,0.537613015756
C(F)F,0,52.02,2.72,1.85737651392
C(F)(F)F,0,70.01,2.9,1.54008093529
C(F)(Cl)Cl,0,102.92,6.69,1.20200703503
C(C(F)(F)F)(F)F,0,120.02,4.94,1.44878530674
CC(F)(F)Cl,0,100.5,6.59,2.19223252608
C(C(F)(F)F)(F)Cl,1,136.48,6.8,1.34952797564
C(C(F)(F)Cl)(F)(F)Cl,0,170.92,8.82,0.6739365998
C(C(F)(F)Cl)(F)(F)F,0,154.47,6.97,0.466700708784
C(=C(F)F)Cl,0,98.48,6.28,0.97505307872
CC(C)OC(C)(C)C,0,116.2,14.5,1.19907762681
C(=O)=S,0,60.08,4.91,0.810151215112
CCCC(C)(C)C,0,100.2,13.7,0.0819538040582
CC(C)C(C)(C)C,0,100.2,13.51,0.0830035871145
CCCC1CCCCC1,0,126.24,16.34,0.0482554462684
CCCCC1CCCCC1,0,140.27,18.35,0.0923079830489
CC/C=C/C=C,0,82.14,12.77,0.775348478843
C1CC=CC=C1,0,80.13,10.54,0.52193697686
C(C(F)(F)F)(C(F)(F)F)F,0,170.03,6.99,1.32345739338
C/C=C\C=O,0,70.09,8.4,3.94211195911
CC(=O)OC=C,0,86.09,8.88,1.8376331492
C[C@H]1CC[C@H](CC1)C,1,112.21,14.58,0.213526820922
C[C@H]1CC[C@@H](CC1)C,1,112.21,14.59,0.0734342612608
C[C@@H]1CCCC[C@@H]1C,1,112.21,14.53,0.133397477345
C[C@H]1CCCC[C@@H]1C,1,112.21,,0.0259713995821
CC(C)CCC(=O)C,0,114.19,14.08,3.06185398034
CC(C)CCCC(=O)C,0,128.21,15.76,3.11676609668
CC(C)CCCCC(=O)C,0,142.24,17.71,3.19876036348
CC(=C)C(=O)O,0,86.09,8.74,4.61125464426
OC(OCC)C,1,90.12,9.68,0.391947290594
CC(C)OC(C)O,1,104.15,11.56,0.463365148895
c1cc2ccc3cccc4c3c2c(c1)cc4,0,202.25,,5.748731119350001e-12
C[C@@H]1CCC[C@@H](C1)C,1,112.21,14.66,0.202963620948
C[C@@H]1CCC[C@H](C1)C,1,112.21,14.73,0.123364699805
c1ccc2c(c1)cccc2C(=O)O,0,172.18,20.94,4.39734802687
c1ccc2cc(ccc2c1)C(=O)O,0,172.18,21.62,5.09155331664
CC/C=C/CC,0,84.16,12.09,0.0349160210949
C/C=C/C=C/C,0,82.14,12.49,0.285888045172
C=C/C=C\C=C,0,80.13,13.8,0.0408664731655
C/C=C/CC=C,0,82.14,12.0,0.530400036204
CCCCC(C)C,0,100.2,13.7,0.159874821785
CCCC(C)CC,1,100.2,13.74,0.134896084537
CCC(CC)CC,0,100.2,13.53,0.080278506413
CCC(C)C(C)C,1,100.2,13.55,0.0861330077777
CCC(C)(C)CC,0,100.2,13.52,0.0849630538973
CC/C=C\C,0,70.13,9.94,0.312952817861
CC(C)CC=C,0,84.16,11.72,0.430715129623
CC(C)(C)C=C,0,84.16,11.65,0.414971989794
CCCC/C=C\C,0,98.19,13.71,0.415631665106
CCCC/C=C/C,0,98.19,14.04,0.0504794614393
CCC/C=C\CC,0,98.19,13.9,0.299875495502
CCC/C=C/CC,0,98.19,14.08,0.0659158211358
CCCCC(=C)C,0,98.19,13.35,0.578259498785
CC(C)CCC=C,0,98.19,13.73,0.530052003132
CC(C)(C)CC=C,0,98.19,13.55,0.460669554489
P,0,34.0,4.44,0.558540012901
CCC(=C)C,0,70.13,9.8,0.589046697966
CCCC(=C)C,0,84.16,11.58,0.616586639692
